"","short_new_description","Dedoose name","count_practitioner","proportion_practitioner","number_practitioners","greater_practitioner","lesser_practitioner","no_mixed_practitioner","Description","Inverse factor","Inverse factor description","Contextual or design factor","Family"
"1","Willingness/ability to use force","Ability_to_use_force",3,0.230769230769231,13,4,0,1,"The tool implementer is willing and able to use force.","Absence of willingness/ability to use force","The tool implementer is unwilling or unable to use force.","Design","Peace operations factors"
"2","Target has access to resources","Access to resources",-2,-0.153846153846154,13,0,2,0,"The target has access to resources, such as oil or gemstones.","Target lacks access to resources","The target lacks access to resources, such as oil or gemstones, to continue the conflict.","Contextual","Target characteristics"
"3","Access to sufficient transport resources",NA,1,0.0769230769230769,13,1,0,0,"The peace operation has sufficient access to transport resources, such as helicopters, to enable the movement of military and civilian personnel.","Insufficient access to transport resources","The peace operation does not have sufficient access to transport resources, such as helicopters, to enable the movement of military and civilian personnel.","Design","Peace operations factors"
"4","Accountability and enforcement mechanism","Accountability_enforcement",1,0.0769230769230769,13,1,0,0,"The use of the tool includes an accountability and enforcement mechanism.","No accountability or enforcement mechanism.","The use of the tool lacks an accountability or enforcement mechanism.","Design","Implementer choices"
"5","Accountability for implementer actions",NA,3,0.230769230769231,13,3,0,0,"The implementer is held accountable for human rights abuses.","No accountability for implementer actions","The implementer is not held accountable for human rights abuses.","Design","Implementer choices"
"6","Government principally responsible for atrocities","Atrocities by Government",0,0,13,0,2,2,"The government is principally responsible for atrocities, human rights abuses, or one-sided violence.","Government not principally responsible for atrocities","The government is not principally responsible for atrocities, human rights abuses, or one-sided violence.","Contextual","Conflict dynamics"
"7","Non-state armed groups principally responsible for atrocities","Atrocities by NSAGs",-2,-0.153846153846154,13,0,2,0,"Non-state armed groups are principally responsible for atrocities, human rights abuses, or one-sided violence.","Non-state armed groups not principally responsible for atrocities","Non-state armed groups are not principally responsible for atrocities, human rights abuses, or one-sided violence.","Contextual","Conflict dynamics"
"8","Biased implementer or intervention","Biased intervener or intervention",-7,-0.538461538461538,13,0,7,0,"The tool implementer or intervention is biased toward one party. Bias refers to the posture of the intervener, not necessarily prejudices that the intervener might hold about parties.","Unbiased implementer or intervention","The tool implementer or intervention is not biased toward either party. Bias refers to the posture of the intervener, not necessarily prejudices that the intervener might hold about parties.","Design","Implementer choices"
"9","Civilian protection capacity",NA,4,0.307692307692308,13,4,0,0,"The peace operation has training and sufficient resources to support civilian protection goals.","Limited civilian protection capacity","The peace operation does not have training and sufficient resources to support civilian protection goals.","Design","Peace operations factors"
"10","Clear policy objectives","Clear policy objectives",8,0.615384615384615,13,8,0,0,"The implementer's objectives in using the tool are clear.","Absence of clear policy objectives","The implementer's objectives in using the tool are unclear.","Design","Implementer choices"
"11","Cohesive conflict parties","Cohesiveness of conflict parties",1,0.0769230769230769,13,1,0,0,"The conflict parties are internally unified.","Splintered conflict parties","The conflict parties are splintered.","Contextual","Conflict dynamics"
"12","Committed implementer","Commitment",10,0.769230769230769,13,10,0,0,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics"
"13","Implementer has strong leadership","Strong leadership",7,0.538461538461538,13,7,0,0,"The tool implementer has strong leadership.","Implementer has weak leadership","The tool implementer has weak leadership","Design","Implementer characteristics"
"14","Comprehensive settlement or peace agreement","Comprehensive_settlement_or_peace_agreement",2,0.153846153846154,13,2,0,0,"There is a comprehensive settlement or peace agreement between the conflict parties.","No comprehensive settlement or peace agreement","There is no comprehensive settlement or peace agreement between the conflict parties.","Contextual","Conflict dynamics"
"15","Conflict has existential stakes",NA,-1,-0.0769230769230769,13,0,1,0,"The conflict parties perceive that the conflict has existential stakes for the government or non-state armed group.","Conflict does not have existential stakes","The conflict parties do not perceive that the conflict has existential stakes for the government or non-state armed group.","Contextual","Conflict dynamics"
"16","Conflict parties use private military contractors",NA,-2,-0.153846153846154,13,0,2,0,"Parties to the conflict rely on private military contractors.","Conflict parties do not use private military contractors","Parties to the conflict do not rely on private military contractors.","Design","Peace operations factors"
"17","Consistent implementation","Consistency over time",1,0.0769230769230769,13,1,0,0,"The tool is implemented consistently over time and across parties/perpetrator groups.","Inconsistent implementation","The tool is implemented inconsistently over time and across parties/perpetrator groups.","Design","Implementer choices"
