Interview,Description,Factor type,Suggested final interview code,"Suggested final code description (from Dedoose codes, if possible)",Equivalent code in Dedoose?,"Description of greater effectiveness factor (via analytic guide or, if ""No"" in Column F, new)",No or mixed effect for factor?,Direction of no_mixed_effect vote,1,2,3,4,5,6,7,8,9,10,11,12,13
AUTH_FORC,Authorization to use force,Design,AUTH_FORC,Willingness/ability to use force,Yes,The tool implementer is willing and able to use force.,Yes,Positive,,,,1,,,,,,,,,
AUTO_MAND,Mandates give enough leeway and autonomy to prevent atrocities as they are happening ,Design,AUTH_FORC,Willingness/ability to use force,Yes,The tool implementer is willing and able to use force.,Yes,Positive,,1,,,,,,,,,,,
DET_POST,"""Have a deterrent posture (different from mindset). Willingness to engage militarily, gives space to do protection without engaging kinetically to protect civilians.""",Contextual,AUTH_FORC,Willingness/ability to use force,Yes,The tool implementer is willing and able to use force.,Yes,Positive,,,,,,,,1,,,,,
MILI_FORC,Military force ,Contextual,AUTH_FORC,Willingness/ability to use force,Yes,The tool implementer is willing and able to use force.,Yes,Positive,,,,,1,,,,,,,,
RULE_ENG,"""Rules of engagement - [limited role / effect] """,Contextual,AUTH_FORC,Willingness/ability to use force,Yes,The tool implementer is willing and able to use force.,Yes,No or mixed effect,,,,,,,,,,,,,1
ABS_RSC,Absence of resource seeking conflict,Contextual,RSC_SEEK,Target has access to resources,Yes,"The target lacks access to resources, such as oil or gemstones, to continue the conflict.",No,Negative,,,,,,,1,,,,,,
RSC_SEEK,Conflict based on capturing resources,Design,RSC_SEEK,Target has access to resources,Yes,"The target lacks access to resources, such as oil or gemstones, to continue the conflict.",No,Negative,,,,,,,,,,1,,,
TRANS_HUB,"""Transportation hubs and aircraft support""",Design,TRANS_HUB,Access to sufficient transport resources,No,"The peace operation has sufficient access to transport resources, such as helicopters, to enable the movement of military and civilian personnel.",No,,,,,,,,1,,,,,,
SHRT_TERM,"""Focus on short-term peace gains undermines the imperative of addressing impunity and ensuring accountability of perpetrators. """,Design,SHRT_TERM,Accountability and enforcement mechanism,Yes,The use of the tool includes an accountability and enforcement mechanism.,No,,,,,,,,,,,,1,,
ACCT,"""Avoid abuse / accountability --- abuse sets a bad tone [or “high quality of troops”]""",Design,ACCT,Accountability for implementer actions,No,The implementer is held accountable for human rights abuses.,No,,1,,,,,,,,,,1,,
