"","num_id","Name","Type","Dedoose name","Short description","Description_tool","Strategies the tool can support","Theory of change","Structural or operational","Evidence review","DIMEL","Description","Inverse factor","Inverse factor description","Contextual or design factor","Family","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific"
"1",3,"Peace operations","Tool","Peace operations_tool","Deployment of military and/or civilian personnel to a conflict zone to promote peace","Peace operations are composed of “military and/or civilian personnel deployed by one or more third-party states, frequently but not necessarily under the auspices of a global or regional organization” (Mullenbach 2005, p. 529). The mandates and composition of peace operations can vary widely, from civilian observer missions to missions authorized to use military force to enforce the peace. Common goals include mitigating hostilities, restoring state authority, preventing recurrence of civil war, and/or achieving humanitarian goals, including the protection of civilians.","(1) dissuading potential perpetrators from committing atrocities, and (2) protecting vulnerable civilian populations","If peace operations help prevent the outbreak or recurrence of armed conflict, they would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities. In addition, if peace operations provide direct physical protection to civilian populations; defeat, detain, or degrade the capacity of atrocity perpetrators; and/or shift armed actors’ calculations of the costs and benefits of targeting civilians (e.g., by publicizing violations), they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","Military",NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"2",59,"Mediation","Tool","Mediation_tool","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","Diplomatic",NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"3",89,"Prosecutions","Tool","Prosecutions_tool","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes","Legal",NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
"4",196,"Support to non state armed groups","Tool","Support to non state armed groups_tool","Aid provided by a foreign state to a rebel group","Support to non-state armed groups is assistance--including “the provision of weapons, funds, logistics, military training and access to intelligence and sanctuaries"" (Karlen 2017, p. 16)--provided by a foreign state to a non-state armed group (often referred to as a rebel group). This review does not include analyses of direct military intervention in support of a non-state armed group.","(1) dissuading potential perpetrators from committing atrocities, (2) degrading potential perpetrators’ capacity to commit atrocities, (3) protecting vulnerable civilian populations, and (4) facilitating a political transition.","If support to a non-state armed group enables the group to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if support to a non-state armed group enables it to defeat an abusive government and facilitate a political transition, it would reduce the likelihood or severity of mass atrocities.","Operational","Yes","Military, Informational, Economic",NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA
"5",72,"Targeted sanctions","Tool","Targeted sanctions_tool","Coercive measures that target the assets or activities of individuals or corporations","Targeted sanctions are “designed deliberately to be different from comprehensive sanctions, either by focusing measures on leaders, decisionmakers, and their principal supporters, rather than on the general population or by targeting a single sector, rather than an entire economy” (Biersteker et al. 2013, p. 9). Targeted sanctions commonly include freezing of financial assets, targeted trade restrictions, travel restrictions, and arms embargoes.","(1) dissuading potential perpetrators from committing atrocities, (2) degrading potential perpetrators’ capacity to commit atrocities, and (3) facilitating a leadership or political transition","If targeted sanctions raise the individual costs on the commission of atrocities, they will reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by freezing or seizing assets), reputational, or political. In addition, if targeted sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they will reduce the likelihood or severity of mass atrocities (Krain 2017; Lopez 2015).","Operational","Yes","Economic, Diplomatic, Legal",NA,NA,NA,NA,NA,1,1,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA
"6",183,"Naming and shaming","Tool","Naming_and_shaming_tool","Public condemnation of perpetrators of mass atrocities","Naming and shaming is the publicizing of “rights-based violations and their perpetrators (naming) and bring[ing] more pressure to bear on perpetrators of rights violations to change their behavior (shaming)” (Krain 2012, p. 575; Keck and Sikkink 1998).","(1) dissuading potential perpetrators from committing atrocities, or (2) facilitating a political transition","If naming and shaming imposes reputational costs on perpetrators and/or increases the expected future costs of committing atrocities, it would reduce the likelihood or severity of mass atrocities (Krain 2012; DeMeritt 2012). If naming and shaming imposes reputational and political costs that encourage perpetrators to consider exiting their positions of power, it would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational","Yes","Diplomatic",NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"7",168,"Arms embargoes","Tool","Arms embargoes_tool","Prohibitions on weapons transfers","Arms embargoes prohibit arms transfers to a whole country (“blanket arms embargoes”), specific areas or forces within a country (“selective arms embargoes”), or individuals or groups regardless of location (“global arms embargoes”). Arms embargoes can target one or all sides of a conflict (“partial” and “impartial” arms embargoes, respectively) (SIPR 2007, pp. 2-3).","(1) dissuading potential perpetrators from committing atrocities, and (2) degrading potential perpetrators’ capacity to commit atrocities","If arms embargoes deny potential perpetrators access to arms or raise the costs of acquiring arms, they would reduce the likelihood or severity of mass atrocities by constraining their capacity for violence. If arms embargoes increase the expected cost of committing mass atrocities, potential perpetrators would be more likely to choose alternative options (Brubaker and Dorfler 2017, pp. 2, 8).","Operational","Yes","Military, Economic",NA,NA,NA,NA,NA,1,1,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
"8",164,"Military intervention","Tool","Military intervention_tool","Introduction of foreign military forces into a conflict","Military intervention is “the deliberate act of a nation or group of nations to introduce its military forces into the course of an existing controversy” (Department of Defense 2010, p. 153). Military intervention can include limited operations, such as ones focused on securing access routes or borders or enforcing no-fly zones, and more extensive operations, such as ones focused on defeating armed groups and establishing security across a country (Waxman 2009; Seybolt 2008).","(1) dissuading potential perpetrators from committing atrocities, (2) degrading potential perpetrators’ capacity to commit atrocities, (3) protecting vulnerable civilian populations, and (4) facilitating a political transition.","If military intervention provides physical protection to civilian populations, increases costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or destroys or degrades other groups’ capacity to commit atrocities, it would reduce the likelihood or severity of mass atrocities (Waxman 2009, pp. 6-7). In addition, if military intervention defeats an abusive government and facilitates a political transition, it would reduce the likelihood or severity of mass atrocities.","Operational","Yes","Military",NA,NA,NA,NA,NA,1,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"9",16,"Comprehensive economic sanctions","Tool","Comprehensive economic sanctions_tool","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions ""include broad-based trade restrictions and prohibit commercial activity with an entire country"" (GAO 2019, p. 4).","(1) dissuading potential perpetrators from committing atrocities, and (2) degrading potential perpetrators’ capacity to commit atrocities","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","Economic, Legal",NA,NA,NA,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA
"10",159,"Amnesties","Tool","Amnesties_tool","The official barring of legal proceedings against certain individuals or groups","An amnesty is “an official legislative or executive act whereby criminal investigation or prosecution of an individual, a group or class of persons and/or certain offences is prospectively or retroactively barred, and any penalties cancelled” (ICRC 2017, p. 1).","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","If amnesties increase the expected benefits of alternative courses of action to committing mass atrocities, including by encouraging abusive leaders to give up power, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes","Legal",NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
