"Data Dictionary for ""Tools for Atrocity Prevention"" Project",,,,,,,,,,,,,
"Last updated July 2022. Variables listed by data sheet, by category, and in alphabetical order",,,,,,,,,,,,,
Variable name,Main data sheet,Variable type,This variable describes:,,,,,,,,,,
Contextual.or.design.factor,all_factors,Text / binary,"Whether the factor pertains to (1) the context in which the atrocity prevention tool is being used (""Contextual""), or (2) the manner in which the atrocity prevention tool is being implemented (""Design"")",,,,,,,,,,
count,all_factors,Integer,"The number of findings that address the effects of the presence of the factor on the atrocity prevention tool's effectiveness. In some circumstances, this value may differ from the number of studies about the factor",,,,,,,,,,
count_adverse,all_factors,Integer,"The number of findings that the report contains about the impact of the factor on the atrocity prevention tool's effectiveness in preventing ""adverse consequences"" outcomes",,,,,,,,,,
count_without_adverse,all_factors,Integer,"The number of findings that the report contains about the impact of the factor on the atrocity prevention tool's effectiveness, excluding ""adverse consequences"" outcomes",,,,,,,,,,
count_practitioner,all_factors,Integer,The number of practitioners who cited the factor as being associated with effectiveness of the atrocity prevention tool,,,,,,,,,,
Dedoose.name_factor,all_factors,Text,"How we labeled the factor in Dedoose, the qualitative data analysis software that we used to analyze reports. This value corresponds to the variable ""CD"" in the all_sources spreadsheet",,,,,,,,,,
Dedoose.name_tool,all_factors,Text,"How we labeled the atrocity prevention tool in Dedoose, the qualitative data analysis software that we used to analyze reports. This value corresponds to the variable ""Tool"" in the all_sources spreadsheet",,,,,,,,,,
Description,all_factors,Text,The description of the factor,,,,,,,,,,
Description_tool,all_factors,Text,"The full description (i.e., definition) of the atrocity prevention tool",,,,,,,,,,
Description.Final,all_factors,Text,"The final description of the factor, accounting for the factor's opposite where possible (see the variables ""Inverse.factor"" and ""inversion_with_neg_strength"" below)",,,,,,,,,,
Evidence.review,all_factors,Binary,"Whether or not we have conducted a review of the research evidence of the tool in ""tool_name,"" where 1 indicates that we have conducted an evidence review and 0 indicates that we have not",,,,,,,,,,
Family,all_factors,Text,"The category of factors to which the factor in ""Name.Final"" corresponds",,,,,,,,,,
Inverse.factor,all_factors,Text,"The opposing value of the factor, such as ""commitment"" and ""absence of commitment,"" where available",,,,,,,,,,
Inverse.factor.description,all_factors,Text,"The description of the factor inverse, where applicable",,,,,,,,,,
inversion_with_neg_strength,all_factors,Binary,"Whether we inverted the value of the factor vote count based on whether (1) the original vote count (see the variable ""vote_count_factor"") was negative; and (2) there was an ""inverted factor"" (see ""Inverse.factor""). If point (2) was not true, but (1) was, then we kept the negative ""vote_count"" value. A value of 1 indicates the vote count is inverted, while a value of 0 indicates that it is not",,,,,,,,,,
Name,all_factors,Text,"The name of the factor, not taking into account the factor's opposite",,,,,,,,,,
Name.Final,all_factors,Text,"The final name of the factor, taking into the factor's opposite where applicable. See the variable ""inversion_with_neg_strength"" to assess whether the factor has both (1) an opposite value and (2) a negative impact on the tool's effectiveness. Name.Final reflects how the factor is named in the interactive web tool and the corresponding evidence briefs",,,,,,,,,,
number_practitioners,all_factors,Integer,The total number of practitioners interviewed for each atrocity prevention tool,,,,,,,,,,
