"","article_index","full_citation","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"1","Peace Ops.098","Šimunović, Pjerxs. ""A framework for success: Contextual factors in the UNTAES operation in Eastern Slavonia,"" *International Peacekeeping*, vol. 6, no. 1 (1999), 126-142, DOI: 10.1080/13533319908413760","PR24MH3G","journalArticle",1999,"Šimunović, Pjerxs","A framework for success: Contextual factors in the UNTAES operation in Eastern Slavonia","International Peacekeeping","","","10.1080/13533319908413760","","","1999","2022-03-28 20:07:24","2023-11-27 18:58:38","","126-142",NA,"1",6,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Mediation.56","Duursma, Allard. ""Making disorder more manageable: The short-term effectiveness of local mediation in Darfur,"" *Journal of Peace Research*, vol. 58, no. 3 (2020), 554-567, DOI: 10.1177/0022343319898241","TKIQYWKT","journalArticle",2020,"Duursma, Allard","Making disorder more manageable: The short-term effectiveness of local mediation in Darfur","Journal of Peace Research","","0022-3433","10.1177/0022343319898241","https://doi.org/10.1177/0022343319898241","Much of the quantitative conflict resolution literature focuses on mediation between states or on efforts to end a civil war through a comprehensive peace agreement that brings peace to the entire country. This article instead analyses the effectiveness of mediation between a wide range of armed actors on a subnational level. Utilizing unique data on Darfur covering the January 2008–August 2009 period, this article finds that mediation efforts following armed clashes in a given area significantly prolong local lulls in fighting in this area. This finding remains robust when controlling for the presence of a peacekeeping base, battle-deaths and the type of armed actors engaged in armed clashes. In addition, the finding remains robust when accounting for the non-random assignment of mediation efforts through matching similar observations in the dataset. Finally, anecdotal evidence from sites of armed conflict beyond Darfur suggest that the findings from this study might also hold in other armed conflicts.","2020","2022-03-08 05:53:20","2023-11-27 18:54:28","2022-03-08 05:53:20","554-567",NA,"3",58,NA,"Journal of Peace Research","Making disorder more manageable","",NA,NA,"","","","en",NA,"","","","SAGE Journals","",NA,"",NA,"","conflict resolution; peacekeeping; United Nations; Darfur; local mediation; local peace","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Mediation.2023.27","Egel, Daniel; Johnston, Trevor; Rhoades, Ashley L.; Robinson, Eric. *Building an Enduring Peace in Yemen: Lessons from Five Years of RAND Research*. RAND Corporation, 2021.","7DMSLYM3","report",2021,"Egel, Daniel; Johnston, Trevor; Rhoades, Ashley L.; Robinson, Eric","Building an Enduring Peace in Yemen: Lessons from Five Years of RAND Research","","","","","https://www.rand.org/pubs/research_reports/RRA733-1.html","Yemen's civil war entered its sixth year in 2021. United Nations–led peace talks, which have been ongoing since the very beginning of the crisis, have struggled to gain traction. This report draws on five years of RAND research to describe the challenges facing efforts to achieve an enduring peace in Yemen and outlines constructive steps the international community can take to achieve an enduring peace.","2021","2023-11-26 03:12:03","2023-11-27 15:01:05","2023-11-26 03:12:03","",NA,"",NA,NA,"","Building an Enduring Peace in Yemen","",NA,NA,"","RAND Corporation","","en",NA,"","","","www.rand.org","",NA,"",NA,"","Nation Building; United Nations; International Humanitarian Assistance; Yemen","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Mediation.2023.30","Kartsonaki, Argyro; Wolff, Kartsonaki; Fontana, Giuditta. *Mechanisms for Dialogue: A Contribution to Preventing Civil War Recurrence*. , 2022.","YXTMLE2T","report",2022,"Kartsonaki, Argyro; Wolff, Kartsonaki; Fontana, Giuditta","Mechanisms for Dialogue: A Contribution to Preventing Civil War Recurrence","","","","","https://www.usip.org/publications/2022/11/mechanisms-dialogue-contribution-preventing-civil-war-recurrence","This paper argues that the effects of civil war recurrence can be mitigated if peace agreements include mechanisms that enable the warring parties to continue dialogue throughout peace processes beyond the implementation of a peace agreement.","2022","2023-11-26 03:16:34","2023-11-27 19:23:53","2023-11-26 03:16:34","",NA,"",NA,NA,"","Mechanisms for Dialogue","",NA,NA,"","","","en",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Naming and Shaming.01","Kinzelbach, Katrin; Lehmann, Julian. *Can Shaming Promote Human Rights? Publicity in Human Rights Foreign Policy*. European Liberal Forum, 2015.","GBAC2FSZ","report",2015,"Kinzelbach, Katrin; Lehmann, Julian","Can Shaming Promote Human Rights? Publicity in Human Rights Foreign Policy","","","","","","","2015","2022-03-16 14:28:07","2023-11-27 14:39:25","","",NA,"",NA,NA,"","","",NA,NA,"","European Liberal Forum","Brussels","",NA,"A Review and Discussion Paper","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Comprehensive Economic Sanctions.05","Krain, Matthew. ""The effect of economic sanctions on the severity of genocides or politicides,"" **, vol. NA, no.  (2014), 1-48, DOI: ","6Y2L4TP8","journalArticle",2014,"Krain, Matthew","The effect of economic sanctions on the severity of genocides or politicides","","","","","https://discover.wooster.edu/mkrain/files/2014/01/SanctionsGP1.pdf","This study examines the effect of economic sanctions on the severity of ongoing instances of genocide or politicide. Research suggests that sanctions exacerbate human rights conditions, yet influential policymakers, human rights advocates and some scholars continue to call for economic sanctions to mitigate ongoing atrocities. Ordered logit analyses of genocides and politicides from 1976 to 2008 reveal that sanctions neither aggravate atrocities, as some of the academic literature expects, nor alleviate them, as assumed by many policymakers and advocates (and some researchers). These findings hold regardless of whether they are measured as the number or presence of sanctions, cost, level of comprehensiveness, duration or whether imposed or administered by an international organization. Threats of sanctions also have no effect on atrocity severity, either on their own or combined with other policy options.","2014","2020-04-29 20:18:25","2023-11-27 14:37:01","","1-48",NA,"",NA,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Mediation.19","Gartner, Scott Sigmund; Bercovitch, Jacob. ""Overcoming Obstacles to Peace: The Contribution of Mediation to Short-Lived Conflict Settlements,"" *International Studies Quarterly*, vol. 50, no. 4 (2006), 819-840, DOI: ","HBY46AYT","journalArticle",2006,"Gartner, Scott Sigmund; Bercovitch, Jacob","Overcoming Obstacles to Peace: The Contribution of Mediation to Short-Lived Conflict Settlements","International Studies Quarterly","","","","https://www.jstor.org/stable/4092781","","2006","2022-03-23 06:12:49","2023-11-27 14:35:02","","819-840",NA,"4",50,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Foreign Assistance.18","Wood, Reed M.; Molfino, Emily. *Aiding Victims, Abetting Violence: The Influence of Humanitarian Aid on Violence Patterns during Civil Conflict*. , 2016.","7C756KTM","report",2016,"Wood, Reed M.; Molfino, Emily","Aiding Victims, Abetting Violence: The Influence of Humanitarian Aid on Violence Patterns during Civil Conflict","","","","","https://reedmwood.files.wordpress.com/2016/01/aiding_abetting_jogss.pdf","","2016","2022-03-28 05:18:42","2023-11-27 14:33:35","","1-43",NA,"",NA,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Peace Ops.077","Heldt, Birger. ""Conditions for Successful Intrastate Peacekeeping Missions,"" *The Cornwallis Group VI: Analysis for Assessment, Evaluation, and Crisis Management*, vol. NA, no.  (2002), 109-136, DOI: ","MPRSPAIP","journalArticle",2002,"Heldt, Birger","Conditions for Successful Intrastate Peacekeeping Missions","The Cornwallis Group VI: Analysis for Assessment, Evaluation, and Crisis Management","","","","","","2002","2022-03-28 17:54:18","2023-11-27 14:31:31","","109-136",NA,"",NA,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Comprehensive Economic Sanctions.66","Agbonifo, John. *Sanctions, Conflict Prevention and Peacebuilding: Coercing Non-State Armed Actors in Africa*. Department of Sociology, Osun State University, Nigeria, 2017.","FERMG5SQ","report",2017,"Agbonifo, John","Sanctions, Conflict Prevention and Peacebuilding: Coercing Non-State Armed Actors in Africa","","","","","","","2017","2022-03-28 00:59:30","2023-11-27 14:30:09","","",NA,"",NA,NA,"","","",NA,NA,"","Department of Sociology, Osun State University, Nigeria","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Prosecutions.61","Broache, Michael. ""International prosecutions and atrocities in the Democratic Republic of the Congo: A case study of the FDLR,"" *The Journal of the Middle East and Africa*, vol. 7, no. 1 (2016), 19-38, DOI: 10.1080/21520844.2016.1148534","BGTRN4JB","journalArticle",2016,"Broache, Michael","International prosecutions and atrocities in the Democratic Republic of the Congo: A case study of the FDLR","The Journal of the Middle East and Africa","","","10.1080/21520844.2016.1148534","","","2016","2022-03-24 14:36:05","2023-11-27 14:28:56","","19-38",NA,"1",7,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
