article_index,Excluded?,coder_1,coder_2,coder_3,coder_4,notes
External Support NSAGs.01,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.02,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.03,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.04,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.05,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.06,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.07,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.08,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.09,1,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
External Support NSAGs.10,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.11,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.12,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.13,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.14,1,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
External Support NSAGs.15,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.16,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.17,0,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
External Support NSAGs.18,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.19,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.20,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.21,1,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
External Support NSAGs.22,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.23,1,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
External Support NSAGs.24,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
External Support NSAGs.25,1,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
External Support NSAGs.26,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
External Support NSAGs.27,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
External Support NSAGs.28,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Fact-Finding.01,1,KyraFox,dsolomon_ushmm,,,
Fact-Finding.02,1,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Fact-Finding.03,1,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Fact-Finding.04,1,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Fact-Finding.05,1,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Fact-Finding.06,1,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Mediation.01,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.02,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.03,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.04,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.05,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.06,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.07,0,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Mediation.08,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.09,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.10,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.11,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.12,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.13,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.14,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.15,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.16,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.17,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.18,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.19,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.20,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.21,0,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Mediation.22,0,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Mediation.23,0,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Mediation.24,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.25,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.26,0,KyraFox,dsolomon_ushmm,Alexbhall,Jessmoody89,
Mediation.27,0,KyraFox,dsolomon_ushmm,Alexbhall,Jessmoody89,
Mediation.28,0,KyraFox,dsolomon_ushmm,Alexbhall,Jessmoody89,
Mediation.29,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.30,0,KyraFox,dsolomon_ushmm,Alexbhall,Jessmoody89,
Mediation.31,0,KyraFox,dsolomon_ushmm,Alexbhall,Jessmoody89,
Mediation.32,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Mediation.33,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Mediation.34,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Mediation.35,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Mediation.36,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Mediation.37,0,KyraFox,dsolomon_ushmm,Alexbhall,Jessmoody89,
Mediation.38,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Mediation.39,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Mediation.40,0,KyraFox,dsolomon_ushmm,Alexbhall,Jessmoody89,
Mediation.41,0,KyraFox,dsolomon_ushmm,Alexbhall,Jessmoody89,
Mediation.42,1,KyraFox,dsolomon_ushmm,,,
Mediation.43,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
