Code type,Code
CD,Democracy
CD,Anocracy or hybrid regime
CD,Rebel control of territory
CD,History of tool use
CD,Cooperation_consent
CD,Highly developed state
CD,Local support for tool
CD,National atrocity prevention efforts
CD,Domestic justice or human rights infrastructure
CD,Ripeness
CD,War weariness
CD,Difficult terrain
CD,Conventional tactics
CD,Guerrilla warfare
CD,History of compromise
CD,History of conflict
CD,Comprehensive_settlement_or_peace_agreement
CD,Atrocities by Government
CD,Atrocities by NSAGs
CD,Atrocities by GOVT and NSAGs
CD,Interstate
CD,Intrastate
CD,Ongoing armed conflict
CD,External_assistance
CD,More than two parties
CD,Long conflict
CD,High intensity conflict
CD,Safe haven for perpetrator
CD,Strong spoiler groups
CD,Strong government
CD,Strong NSAG
CD,Balance of power or stalemate
CD,Peace agreements involving amnesties
CD,UN mandate
CD,International support or coordination
CD,Severe HR violations
CD,Atrocity-justifying ideology or revenge
CD,Rational
CD,Top leader or high status
CD,Leaders and followers
CD,Large number of targets
CD,Foreign aid dependency
CD,Priority of reputation
CD,Risk tolerance of target
CD,State target
CD,Hierarchical
CD,Established
CD,Popular support
CD,Religious
CD,Transnational
CD,Access to resources
CD,Civilian_implementer
CD,NGO implementer
CD,Adversary_implementer
CD,State implementer
CD,Media implementer
CD,International organization implementer
CD,Knowledge
CD,Experience
CD,Skills
CD,Democratic implementer
CD,Multiple_competitive_implementers
CD,Clear_command_and_control
CD,Unrealistic_expectations
CD,Strong leadership
CD,Strong HR record
CD,Commitment
CD,Implementer leverage
CD,Local outreach
CD,Public communication
CD,Private communication to target
CD,Biased intervener or intervention
CD,Multi_tool
CD,Consistency over time
CD,Early_in_conflict
CD,Multiple uses
CD,Monitoring
CD,Threat of use of tool
CD,Clear policy objectives
CD,Official_mediation
CD,Multiple_types_of_mediation
CD,Conflict_party_initiates_mediation
CD,Exclusion of spoilers
CD,Initiating investigation
CD,Arrest warrant
CD,Domestic prosecution
CD,International prosecution
CD,Witness protection
CD,Perp_awareness of the international justice system
CD,UNSC referral
CD,Preference for domestic justice
CD,High quantity of support
CD,Police
CD,Observer mission
CD,Protection_of_civilians_mandate
CD,Multidimensional_mandate
CD,Humanitarian_mission
CD,DDR_mandate
CD,Large_force
CD,Diversity of troop-contributing countries
CD,Ability_to_use_force
CD,Election_engagement
CD,Troops
CD,Use_of_safe_areas
CD,Consent
CD,Use_of_private_contractors
CD,Civilian_component
CD,Ability_to_separate_combatants
Outcome,Mass atrocities
Outcome,Violence against civilians
Outcome,Human rights violations
Outcome,Conflict_outcome
Outcome,Adverse consequences
Overall effects,Decreases mass atrocities or CROs 
Overall effects,Mixed effect on mass atrocities or CROs
Overall effects,Increases mass atrocities or CROs
Overall effects,No measurable effect on mass atrocities or CROs
Factor effects,The factor is associated with greater effectiveness of the tool in reducing mass atrocities or CROs
Factor effects,The factor is associated with lesser effectiveness of the tool in reducing mass atrocities or CROs 
Factor effects,The factor has no or mixed effects on the effectiveness of the tool in reducing mass atrocities or CROs 
Tool,Peace operations_tool
Tool,Mediation_tool
Tool,Prosecutions_tool
Tool,Support to non-state armed groups_tool
Tool,Targeted sanctions_tool
Tool,Fact finding_tool
Tool,Naming_and_shaming_tool
Tool,Military intervention_tool
Tool,Diplomatic sanctions_tool
Tool,Comprehensive economic sanctions_tool
Tool,Arms embargoes_tool
Tool,Security guarantees_tool
Tool,Security assistance_tool
