"","Name.Final","tool_name","Tool","count","greater_findings","lesser_findings","no_mixed_findings","temp_vote_count_factor","vote_count_factor","count_adverse","count_without_adverse","ma_focus_greater_count_factor","ma_focus_lesser_count_factor","ma_focus_no_mixed_count_factor","cro_focus_greater_count_factor","cro_focus_lesser_count_factor","cro_focus_no_mixed_count_factor","outcomes","Short.description","Description_tool","Theory.of.change","Structural.or.operational","Evidence.review","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","Name","Dedoose.name_factor","Description","Inverse.factor","Inverse.factor.description","Contextual.or.design.factor","Family","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific","count_practitioner","number_practitioners","proportion_practitioner","inversion_with_neg_strength","Description.Final","vote_count","research_qualitative","practitioner_qualitative","research_qualitative_for_web","practitioner_qualitative_for_web","Dedoose.name_tool"
"1","Public communication","Prosecutions","Prosecutions_tool",2,1,0,1,0.5,0.25,0,2,0,0,0,1,0,1,"Conflict, Violence against civilians","Legal proceedings against suspected perpetrators of mass atrocities","Prosecutions of atrocity crimes are attempts to hold individuals criminally accountable for mass atrocities through national courts, the International Criminal Court, international tribunals, hybrid courts, or universal jurisdiction. This review is limited to analyses of the effects of actions to advance cases through courts, such as the referral of a case to a court, the opening of an investigation, indictments, arrest warrants, trials, and sentencing.","If prosecutions increase the expected costs to individuals of committing atrocities, they would reduce the likelihood or severity of mass atrocities. In addition, if prosecutions satisfy the desire for justice for past atrocities, they would reduce the likelihood or severity of mass atrocities that might be committed to exact revenge on perpetrator groups. If prosecutions help remove individual perpetrators from positions of power or influence, they would reduce the likelihood or severity of mass atrocities by facilitating a transition to a less atrocity-prone political leadership.","Operational","Yes",1,0,0,1,0,0,0,0,1,"Public communication","Public communication","The use of the tool is communicated or publicized widely.","Absence of public communication","The use of the tool is not communicated or publicized widely.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The use of the tool is communicated or publicized widely.",0.25,"Weaker",NA,"Relatively weak",NA,"Prosecutions_tool"
"2","Directive mediation","Mediation","Mediation_tool",7,5,1,1,2,1.75,0,7,0,0,0,5,1,1,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Directive mediation","Directive_mediation","The mediation uses a directive strategy (sometimes also referred to as “manipulative”).","Non-directive mediation.","The mediation uses a non-directive strategy.","Design","Mediation factors ",0,0,0,0,0,0,1,NA,NA,NA,0,"The mediation uses a directive strategy (sometimes also referred to as “manipulative”).",1.75,"Moderate",NA,"Moderate",NA,"Mediation_tool"
"3","Unbiased implementer or intervention","Mediation","Mediation_tool",16,2,9,5,-4,-2.75,0,16,0,1,0,2,8,5,"Conflict, Mass atrocities, Violence against civilians","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Biased implementer or intervention","Biased intervener or intervention","The tool implementer or intervention is biased toward one party. Bias refers to the posture of the intervener, not necessarily prejudices that the intervener might hold about parties.","Unbiased implementer or intervention","The tool implementer or intervention is not biased toward either party. Bias refers to the posture of the intervener, not necessarily prejudices that the intervener might hold about parties.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,1,"The tool implementer or intervention is not biased toward either party. Bias refers to the posture of the intervener, not necessarily prejudices that the intervener might hold about parties.",2.75,"Moderate",NA,"Moderate",NA,"Mediation_tool"
"4","Implementer-target colonial history","Mediation","Mediation_tool",2,1,1,0,0,0,0,2,0,0,0,1,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Implementer-target colonial history","Colonial history","The tool implementer has colonial history with the target.","Absence of implementer-target colonial history","The tool implementer does not have colonial history with the target.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has colonial history with the target.",0,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"5","Aid-independent target","Mediation","Mediation_tool",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Aid-dependent target","Foreign aid dependency","The target is dependent on foreign aid.","Aid-independent target","The target is not dependent on foreign aid.","Contextual","Target characteristics",0,0,1,0,0,0,0,NA,NA,NA,1,"The target is not dependent on foreign aid.",0.5,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"6","Implementer has strong leverage","Mediation","Mediation_tool",19,15,2,2,6.5,5.75,0,19,0,0,1,15,2,1,"Conflict, Mass atrocities","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Implementer has strong leverage","Implementer leverage","The tool implementer (1) has a significant degree of relative power in the international system, (2) is a member of the “Permanent Five"" (P5) countries on the UN Security Council, or (3) has significant leverage over the conflict parties.","Implementer has weak leverage","The tool implementer (1) has a low degree of relative power in the international system, (2) is not a member of the “Permanent Five” (P5) countries on the UN Security Council, or (3) has weak leverage over the conflict parties","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer (1) has a significant degree of relative power in the international system, (2) is a member of the “Permanent Five"" (P5) countries on the UN Security Council, or (3) has significant leverage over the conflict parties.",5.75,"Stronger",NA,"Relatively strong",NA,"Mediation_tool"
"7","Ripeness","Mediation","Mediation_tool",4,4,0,0,2,2,0,4,0,0,0,4,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Ripeness","Ripeness","The parties to the conflict perceive a negotiated resolution as in their mutual interest.","The conflict is not ripe for resolution.","The parties to the conflict do not perceive a negotiated resolution as in their mutual interest.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"The parties to the conflict perceive a negotiated resolution as in their mutual interest.",2,"Moderate",NA,"Moderate",NA,"Mediation_tool"
"8","Local support for tool","Mediation","Mediation_tool",6,5,0,1,2.5,2.25,0,6,0,0,0,5,0,1,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Local support for tool","Local support for tool","Most of the local population and/or local civil society supports the use of the tool and perceives its use as legitimate.","No local support for tool","There is a low degree of local population support or civil society mobilization for the use or goals of the tool, and/or the local population perceives the use of the tool as illegitimate.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"Most of the local population and/or local civil society supports the use of the tool and perceives its use as legitimate.",2.25,"Moderate",NA,"Moderate",NA,"Mediation_tool"
"9","Humanitarian exemptions","Comprehensive economic sanctions","Comprehensive economic sanctions_tool",1,1,0,0,0.5,0.5,0,1,0,0,0,1,0,0,"Conflict","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions are “coercive economic measures taken against a target to bring about a change in behavior” (CRS 2021, p. 1). Comprehensive sanctions “block the government and include broad-based trade restrictions” (Treasury OFAC).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,0,0,0,0,0,1,1,"Humanitarian exemptions","Humanitarian_exemptions","The targeted sanctions exempt humanitarian operations from restrictions on trade or financial exchanges.","Absence of humanitarian exemptions","The targeted sanctions do not include humanitarian exemptions.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The targeted sanctions exempt humanitarian operations from restrictions on trade or financial exchanges.",0.5,"Weaker",NA,"Relatively weak",NA,"Comprehensive economic sanctions_tool"
"10","No ongoing armed conflict","Comprehensive economic sanctions","Comprehensive economic sanctions_tool",1,0,1,0,-0.5,-0.5,0,1,0,0,0,0,1,0,"Conflict","Coercive measures that target the economic capacity of a state","Comprehensive economic sanctions are “coercive economic measures taken against a target to bring about a change in behavior” (CRS 2021, p. 1). Comprehensive sanctions “block the government and include broad-based trade restrictions” (Treasury OFAC).","If comprehensive economic sanctions raise the costs on the commission of atrocities, they would reduce the likelihood or severity of mass atrocities. These costs can be material (e.g., by increasing the relative economic strength of the opposition), reputational, or political (e.g., by contributing to social upheaval) (Wood 2008, p. 491). In addition, if comprehensive economic sanctions degrade perpetrators’ capacity to commit atrocities by denying them or raising the costs of acquiring critical means, such as funds, arms, and other enabling technological goods, they would reduce the likelihood or severity of mass atrocities.","Operational","Yes",1,1,0,0,0,0,0,1,1,"Ongoing armed conflict","Ongoing armed conflict","There is an ongoing armed conflict in the country under study.","No ongoing armed conflict","There is no ongoing armed conflict in the country under study.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,1,"There is no ongoing armed conflict in the country under study.",0.5,"Weaker",NA,"Relatively weak",NA,"Comprehensive economic sanctions_tool"
